sensor,x,y,z,t_ms
gyr,-7,65,3,1.8676
acc,-0.023,-0.031,0.8828,4.4213
acc,-0.074,-0.019,0.8593,6.2197
acc,-0.035,-0.015,0.8398,7.5268
acc,-0.019,0.0,0.8710,8.4637
acc,-0.007,-0.070,0.8945,9.3759
comp,356.96,-34.04,641.24,12.852
acc,-0.054,-0.035,0.8828,13.787
acc,-0.054,-0.035,0.8828,14.711
acc,-0.050,-0.078,0.9218,15.624
acc,0.0078,-0.031,0.8828,16.533
gyr,-9,63,7,18.239
acc,-0.027,-0.039,0.8867,19.171
acc,-0.074,-0.031,0.9375,20.091
acc,-0.058,-0.027,0.8710,21.0
acc,-0.058,-0.027,0.8710,21.907
gyr,-6,64,3,23.598
acc,-0.035,-0.023,0.8867,24.527
acc,-0.042,0.0117,0.9414,25.462
acc,-0.031,-0.007,0.9531,26.415
acc,-0.031,-0.031,0.9296,27.326
acc,-0.031,-0.031,0.9296,28.235
comp,356.96,-34.04,641.24,31.615
acc,-0.050,-0.035,0.8828,32.538
acc,-0.035,0.0078,0.9218,33.456
acc,-0.054,-0.015,0.8984,34.363
acc,-0.054,-0.015,0.8984,35.27
gyr,-6,63,6,36.960
acc,-0.035,-0.027,0.875,37.897
acc,-0.015,-0.031,0.8593,38.824
acc,-0.027,-0.031,0.8515,39.734
acc,-0.039,-0.011,0.8984,40.643
gyr,-5,64,5,42.794
acc,-0.039,-0.023,0.8789,43.744
acc,-0.011,-0.042,0.875,44.669
acc,-0.027,-0.062,0.8789,45.581
acc,-0.031,-0.015,0.8554,46.490
acc,-0.031,-0.015,0.8554,47.403
comp,356.96,-34.04,641.24,50.825
acc,-0.042,-0.027,0.8867,51.749
acc,-0.046,-0.019,0.8593,52.670
acc,-0.046,-0.019,0.8593,53.588
acc,-0.050,-0.078,0.8789,54.501
gyr,-6,64,7,56.191
acc,-0.031,-0.023,0.8867,57.117
acc,-0.050,-0.011,0.9023,58.042
acc,-0.035,-0.011,0.8789,58.955
acc,-0.019,0.0234,0.8828,59.863
gyr,-10,66,8,61.576
acc,-0.035,-0.035,0.8867,62.499
acc,-0.035,-0.035,0.8867,63.417
acc,-0.062,-0.031,0.8867,64.327
acc,-0.039,-0.027,0.8984,65.238
acc,-0.011,-0.015,0.9140,66.146
comp,357.88,-34.04,641.24,69.540
acc,-0.035,-0.023,0.8789,70.474
acc,-0.031,-0.042,0.8945,71.394
acc,-0.046,0.0273,0.8203,72.302
acc,-0.039,0.0273,0.9023,73.209
gyr,-5,63,2,75.094
acc,-0.039,-0.035,0.8867,76.067
acc,-0.039,-0.011,0.9179,76.991
acc,-0.039,-0.011,0.9179,77.904
acc,-0.011,-0.035,0.8789,78.819
gyr,-7,65,8,82.128
acc,-0.031,-0.039,0.9296,83.076
acc,-0.031,-0.039,0.9296,83.998
acc,-0.023,-0.031,0.8593,84.968
acc,-0.027,0.0195,0.9531,85.894
acc,-0.019,-0.039,0.8906,86.823
comp,357.88,-34.04,641.24,90.253
acc,-0.035,-0.031,0.8828,91.179
acc,-0.054,-0.027,0.8945,92.099
acc,-0.050,-0.031,0.8867,93.007
acc,-0.039,-0.019,0.9335,93.914
gyr,-8,66,0,96.017
acc,-0.031,-0.027,0.8906,96.958
acc,-0.027,-0.031,0.8867,97.877
acc,0.0546,-0.046,0.8554,98.793
acc,0.0546,-0.046,0.8554,99.705
gyr,-7,64,0,101.40
acc,-0.035,-0.042,0.875,102.32
acc,-0.035,-0.042,0.875,103.24
acc,-0.058,-0.023,0.9140,104.15
acc,-0.031,-0.062,0.8828,105.07
acc,-0.023,-0.074,0.8945,105.98
